Title,Price,Neighbourhood,City,Building Area,Land Area,Bedrooms,Bathrooms
Eastlea Commercial,"USD 300,000",Eastlea, Harare East,500 m²,,,
Prime Land For Sale In Borrowdale Brooke,"USD 1,500,000",Borrowdale Brooke, Harare North,,,,
Borrowdale Hogerty Hill Merrydown Estate,"USD 55,000",Hogerty Hill, Harare North,,,,
Stands for sale in shurugwi,USD 23,Shurugwi,,,,,
Development Opportunity-Land For Sale,"USD 350,000",Marlborough, Harare West,,,,
Build your dream house in a beautiful area,"USD 23,000",Hopelyn, Bulawayo North,,,,
3-Bedroom Mandara Home with Pool and Borehole!,"USD 320,000",Mandara, Harare East,150 m²,,,
Stands available for sale,"USD 20,000",Gweru CBD, Gweru,,,,
"Prime CBD Shops for Sale,Sectional Title Deed,from 5sqm to 40sqm along Kaguvi @9500/sqm.deposit 50%","USD 55,000",Harare City Centre, Harare CBD,5 m²,,,
"Prime 2000m² Residential Land in Mt Pleasant Heights, Phase 1, Harare","USD 92,000",Mt Pleasant Heights, Harare West,,,,
Commercial Serviced Stands For Sale In Sunway City,P.O.A.,Sunway City, Harare East,,,,
Your Dream Home Awaits In Mabvazuva,"USD 85,000",Mabvazuva, Ruwa,200 m²,,,
Prime CBD Restaurant Opportunity,"USD 400,000",Bulawayo City Centre, Bulawayo CBD,300 m²,,,
"Spacious 4-Bedroom Home with a Pool in Glen Lorne, Harare North","USD 850,000",Glen Lorne, Harare North,620 m²,,,
Own Your Home In Chisipite,"USD 550,000",Chisipite, Harare North,250 m²,,,
Grab a core house on sale,"USD 25,000",Glen View, Harare High Density,,,,
Beatrice Agro-Commercial land for sale,"USD 150,000",Beatrice,,,,,
Luxurious Apartments for Sale Near Sam Levy Village,"USD 350,000",Borrowdale, Harare North,250 m²,,,
"Newly Built, Modern House","USD 1,500,000",Borrowdale Brooke, Harare North,400 m²,,,
"Prime Warehouse & Factory  in Waterfalls, Harare","USD 350,000",Waterfalls, Harare South,"1,600 m²",,,
"Prime 4000 m² Land for Sale in Morningside, Masvingo! A Few Units left!","USD 40,000",Morningside, Masvingo,,,,
Mt Pleasant Luxury House for Sale,"USD 500,000",Mount Pleasant, Harare North,900 m²,,,
Superbly Located 20 Metres from Churchill Avenue,P.O.A.,Alexandra Park, Harare North,,,,
Charming 1-Bedroom Flat in Harare CBD—Your Urban Retreat Awaits!,"USD 55,000",Harare City Centre, Harare CBD,,,,
Hatfield gated community stands for sale,"USD 37,755",Hatfield, Harare South,,,,
"Prime 600 m² Land for Sale in Fairview, Harare West!","USD 35,000",Fairview, Harare West,,,,
New Cluster development,"USD 425,000",Highlands, Harare North,250 m²,,,
A Gem In The Heart Of Chisipite!,"USD 800,000",Chisipite, Harare North,200 m²,,,
Agro Plot/ Lodge Tranquil Haven In Nyanga,"USD 650,000",Juliasdale,,,,,
"**Prime Warehouse & Factory for Sale in Old Windsor Industrial, Ruwa**","USD 270,000",Old Windsor, Ruwa,400 m²,,,
Borrowdale Brooke - $300 000,"USD 300,000",Borrowdale Brooke, Harare North,,,,
Cold Comfort house for sale,"USD 79,000",Cold Comfort, Harare West,300 m²,,,
Full Title Deeds,"USD 15,000",Rusape,,,,,
EXECUTIVE RESIDENCE or EXCELLENT BUSINESS OPPORTUNITY,P.O.A.,Shawasha Hills, Harare North,900 m²,,,
Duplex Townhouse for Sale,"USD 350,000",Strathaven, Harare West,625 m²,,,
Ivory Gardens – Modern Luxury in Marlborough | Launch Price: US$250k,"USD 250,000",Marlborough, Harare West,200 m²,,,
Industrial property for sale,"USD 700,000",Willowvale, Harare South,,,,
Commercial land for sale,"USD 16,000",Chitungwiza,,,,,
"Residential Stands for sale In Waterfalls, Prospect","USD 55,000",Waterfalls, Harare South,,,,
Iconic Commercial Building for sale (Harare CBD),"USD 5,700,000",Harare City Centre, Harare CBD,"7,920 m²",,,
Manningdale Plot for sale,"USD 60,000",Manningdale, Bulawayo East,,,,
Contemporary 3-Bed Townhouse in Serene Arlington Estate,"USD 175,000",Arlington, Harare South,201 m²,,,
Residential Stand For Sale,"USD 62,000",Ruwa,,,,,
Highland,"USD 350,000",Highlands, Harare North,350 m²,,,
Newly built cluster unit for sale,"USD 380,000",Mount Pleasant, Harare North,450 m²,,,
*Secluded Valley Retreat in Nyanga*,"USD 100,000",Juliasdale,,,,,
Prime property in Newlands for Commercial,"USD 1,250,000",Newlands, Harare North,600 m²,,,
Neat and secure townhouse in a complex of 16 units,"USD 95,000",Waterfalls, Harare South,220 m²,,,
Finish To Own Taste,"USD 280,000",Greendale, Harare East,300 m²,,,
Massive piece of land for Sale in Grange!,"USD 2,700,000",The Grange, Harare North,,,,
Eastlea Samora Machel commercial property for sale,"USD 690,000",Eastlea, Harare East,800 m²,,,
House For Sale!!,"USD 120,000",Prospect, Harare South,200 m²,,,
Borrowdale Helensvale,"USD 380,000",Helensvale, Harare North,"2,800 m²",,,
Neat and cozy home,"USD 135,000",Madokero, Harare West,240 m²,,,
Stylish & Secure 3-Bedroom Home – Greendale Athlone,"USD 220,000",Greendale, Harare East,350 m²,,,
Double Storey Executive Home,"USD 420,000",Fairbridge Park, Mutare,600 m²,,,
Norton (Galloway),"USD 100,000",Galloway, Norton,240 m²,,,
Partially  Built townhouse in Arlington Estate!,"USD 78,000",Arlington, Harare South,250 m²,,,
Aspire Heights Baobab Two Bed Apartments For Sale-1st to 3rd Floor,"USD 67,000",Aspindale Park, Harare West,48 m²,,,
"4-Bedroom House for Sale in Mabvazuva, Ruwa","USD 130,000",Mabvazuva, Ruwa,210 m²,,,
"Stunning House For Sale In Helensvale, Borrowdale","USD 700,000",Helensvale, Harare North,650 m²,,,
Spacious Commercial Land in Ivory Park,"USD 110,000",Fidelity, Harare South,,,,
**Elegant 4-Bedroom Home with Pool and Borehole in Selbourne Park**,"USD 150,000",Selbourne Park, Bulawayo East,600 m²,,,
A Choice Of 5/6 Bed Town House For Sale In Vainona,"USD 300,000",Vainona, Harare North,,,,
"Elegant Home for Sale in Milton Park, Harare","USD 525,000",Milton Park, Harare West,495 m²,,,
Rockview Ruwa,"USD 40,000",Ruwa,,,,,
Eastlea House– Prime Investment Opportunity $350 000,"USD 340,000",Eastlea, Harare East,"1,000 m²",,,
Cornet Unit - Large Garden - Modern Townhouse,"USD 450,000",Newlands, Harare North,225 m²,,,
Townhouse for Sale along Hebert Chitepo,"USD 550,000",Avenues, Harare CBD,220 m²,,,
Borrowdale,"USD 1,320,000",Borrowdale, Harare North,511 m²,,,
Arlington  $130 000,"USD 130,000",Arlington, Harare South,,,,
4-Bedroom Home on Expansive 4600 m² in Chiredzi,"USD 120,000",Chiredzi,,"4,600 m²",,,
Morninside House for sale,"USD 125,000",Morningside, Bulawayo South,"1,500 m²",,,
Lets go farming!!!!!,"USD 110,000",Chegutu,,,,,
An Agro-Industrial Property up for sale,"USD 850,000",Ruwa,,600 m²,,,
Mutare- Investment Property,"USD 480,000",Morning Glory, Tiger's Kloof,,,,
"School stand right on the high way ,partnerships are welcome","USD 1,500,000",Galloway, Norton,,,,
Neat 3 beds House on 1/2 Acre For Sale,"USD 360,000",Mount Pleasant, Harare North,250 m²,,,
Incomplete 5 bedroomed house for sale,"USD 125,000",Mount Pleasant Heights, Harare North,400 m²,,,
"Borrowdale, Philadelphia stunning 3-Bedroom Home for Sale","USD 390,000",Philadelphia, Harare North,400 m²,,,
Southlea Park House,"USD 29,000",Southlea Park, Harare South,120 m²,,,
Msasa Park House For Sale,"USD 75,000",Msasa, Harare East,200 m²,,,
Prime Commercial/Industrial Land with Highway Frontage in Mutoko,P.O.A.,Mutoko,,,,,
"Prime Residential Stands in Timire Park, Ruwa","USD 17,850",Ruwa,,,,,
2-Bedroom Duplex in Westview Mansion Marlborough,"USD 60,000",Marlborough, Harare West,110 m²,,,
Industrial Property With potential for expansion!!!!,"USD 230,000",Chitungwiza,,,,,
Executive Townhouse in Borrowdale Brooke (Along Crowhill Road),"USD 750,000",Borrowdale Brooke, Harare North,850 m²,,,
Land for sale,"USD 100,000",Chinhoyi,,,,,
Priced to go!!!,"USD 425,000",Arlington, Harare South,,,,
Ready to Move in Cottage,"USD 85,000",Sunway City, Harare East,250 m²,,,
Beatrice Farm for sale,"USD 320,000",Beatrice,,,,,
5 hectare Agro-Plots in Shamva,"USD 30,000",Shamva,,,,,
SMART Luxurious POMONA TOWN HOUSES,"USD 550,000",Borrowdale West, Harare North,300 m²,,,
Modern Family Home In Greendale North,"USD 380,000",Greendale North, Harare North,1 m²,,,
Luxurious Property Awaits Your Finishing Touches in Shawasha Hills Gated Estate,"USD 470,000",Shawasha Hills, Harare North,800 m²,,,
Upmarket Residential Stands in Lifestyle Estate,"USD 150,000",Borrowdale, Harare North,,,,
Neat 2-Bedroom Flat for Sale on Marlborough Drive.,"USD 95,000",Marlborough, Harare West,250 m²,,,
House for Sale in Glaudina,"USD 70,000",Glaudina, Harare West,160 m²,,,
Borrowdale Premier Heights Stands For Sale,"USD 42,500",Brookview, Harare North,,,,
Finish to your own taste,"USD 75,000",Kutandara, Harare West,150 m²,,,
Commercial property for sale!!!,"USD 590,000",Avenues, Harare CBD,,,,
A Developers Dream. Land With Huge Potential,"USD 1,000,000",Pomona, Harare North,,,,
Land For Sale | Glaudina,"USD 2,500,000",Glaudina, Harare West,,,,
Work in progress,"USD 105,000",Sandton Park, Harare West,700 m²,,,
Contemporary Garden Flat in Marlborough: Your Dream Home Awaits,"USD 214,000",Marlborough, Harare West,242 m²,,,
High Density Residential Home - Cowdray Park | Byo,"USD 28,000",Cowdray Park, Bulawayo High-Density,200 m²,,,
A property in a Prime Location,"USD 210,000",Suburbs, Bulawayo East,1 m²,,,
Agro-Residential Plot for Sale,"USD 45,000",Kadoma,,,,,
Price Redution - Great Opportunity For Development,"USD 650,000",Fairview, Ruwa,,,,
"Spacious 3-Bedroom Home with Pool in Bulawayo East Suburbs, Fortunesgate","USD 280,000",Suburbs, Bulawayo East,200 m²,,,
"Incomplete Spacious 6-Bedroom Home with Borehole in Arlington, Harare","USD 220,000",Arlington, Harare South,,,,
Home With A Cottage In Quiet Close,"USD 275,000",Marlborough, Harare West,1 m²,,,
"Flamboyant 2 Bed Apartments with stylish finishings Up For Grabs, VAT INCLUSIVE","USD 160,000",Vainona, Harare North,400 m²,,,
Development Opportunity,"USD 450,000",Hogerty Hill, Harare North,200 m²,,,
Nyanga Holiday Home for Sale,"USD 200,000",Nyanga,,100 m²,,,
Prime Commercial Land For Sale in Chegutu,"USD 1,000,000",Chegutu,,,,,
Greendale Land for Sale,"USD 650,000",Greendale North, Harare North,,,,
"Modern 4-Bedroom Haven in Mabvazuva, Ruwa","USD 110,000",Mabvazuva, Ruwa,260 m²,,,
Ruwa stand,"USD 65,000",Chipukutu Park, Ruwa,,,,
Zvimba $280000,"USD 280,000",Zvimba,,,,,
Newlands Knockout Townhouses - Limited Units Remaining!,"USD 380,000",Newlands, Harare North,255 m²,,,
"300 m² Residential Land for Sale in Granary Park, Harare","USD 13,000",Granary Park, Harare High Density,,,,
"Bedroom Luxury House For Sale In Borrowdale, HRE","USD 650,000",Philadelphia, Harare North,"4,675 m²",,,
Famona Family Oasis With A Modern Cottage,"USD 155,000",Famona, Bulawayo South,1 m²,,,
"Modern, Secure And Great Investment","USD 235,000",Greendale, Harare East,168 m²,,,
Partum Mews;3 Bedroom New Release Cluster Units.,"USD 320,000",Mount Pleasant, Harare North,206 m²,,,
Incomplete 3-Bedroom Cottage for Sale in Sandton,"USD 65,000",Sandton Park, Harare West,,,,
Exclusive Modern Compound for Sale in Cold Comfort | 4-Bed Main House + 2-Bed Cottage |,"USD 185,000",Cold Comfort, Harare West,700 m²,,,
Arlington house for sale,"USD 240,000",Arlington, Harare South,300 m²,,,
"Eastlea Spacious Property with Cottage ,1,555sqm","USD 350,000",Eastlea, Harare East,500 m²,,,
Gletywn Park (Police Heights) – Stand for Sale,"USD 210,000",Gletwin Park, Harare North,,,,
Property for Sale in New Marlborough,"USD 215,000",New Marlborough, Harare West,340 m²,,,
Stands for Sale,"USD 110,000",Nyeredzi Ridge, Harare North,,,,
"Modern 3-Bed Semi-Duplex Cluster Units – Off-Plan Sale in Meyrick Park, Harare","USD 140,000",Meyrick Park, Harare West,135 m²,,,
Residential Stands for Sale in Waterfalls Prospect – Ready to Build!,"USD 55,000",Prospect, Harare South,,,,
"Prime 200-264m²  Residential Stands for Sale in Hatcliffe, Harare!","USD 21,000",Hatcliffe, Harare High Density,,,,
Superb Opportunity,"USD 95,000",Eastlea, Harare East,,,,
Spacious 7Th Fl Penthouse Apartment - Northfields,"USD 600,000",Avenues, Harare CBD,1 m²,,,
Apartment Model 4,"USD 66,000",Rainham, Harare West,,,,
"Prime 1500sqm Plot for Sale – Westwood, Chiredzi","USD 20,000",Chiredzi,,,,,
Southerton prime industrial property for sale,"USD 1,800,000",Southerton, Harare South,"4,000 m²",,,
Elegant 3-Bedroom Duplex in Westview Mansion,"USD 80,000",Marlborough, Harare West,130 m²,,,
4-Bedroom Home in Queensdale,"USD 190,000",Queensdale, Harare South,250 m²,,,
"**Spacious 4-Bedroom Family Home in Serene Belvedere, Harare**","USD 310,000",Belvedere, Harare West,310 m²,,,
Westgate Area D House For Sale,"USD 160,000",Westgate, Harare West,320 m²,,,
2 Bedroom Flat in Upper Avenues,"USD 120,000",Avenues, Harare CBD,250 m²,,,
A Delightful and Comfortable Family Home! (On Show),"USD 650,000",Borrowdale, Harare North,300 m²,,,
Prime Industrial Opportunity.,"USD 399,000",Lion Drive, Chiredzi,"3,100 m²",,,
Hatfield Investment Property on 5 Acres,"USD 650,000",Hatfield, Harare South,,,,
Arlington Estate Neat 3 Bed House For Sale,"USD 210,000",Arlington, Harare South,200 m²,,,
Great Opportunity!!!,"USD 650,000",Glen Lorne, Harare North,"1,000 m²",,,
Mountain Retreat With Stunning Views - Chimanimani's Hidden Gem,"USD 60,000",Chimanimani,,210 m²,,,
Versatile property in Upper Hillside,"USD 350,000",Upper Hillside, Harare East,800 m²,,,
An Unmatched Investment Opportunity in Prime Location of Mount Pleasant,"USD 3,000,000",Mount Pleasant, Harare North,"1,000 m²",,,
"Investor's delight, a complex with 6 units in Ruwa,","USD 180,000",Gukurahundi, Ruwa,600 m²,,,
Modern 2 Bed Flat in Prime Location,"USD 40,000",Chinhoyi,,100 m²,,,
Marondera Paradise House for sale,"USD 100,000",Marondera,,"1,500 m²",,,
6150 Sqm Land in Trenance,"USD 45,000",Trenance, Bulawayo North,,,,
Lifetime Opportunity!,"USD 375,000",Greendale North, Harare North,500 m²,,,
4-Bedroom House for Sale in Mabvazuva Estate,"USD 100,000",Mabvazuva, Ruwa,200 m²,,,
Escape to your new home in Chipukuti,"USD 105,000",Chipukutu Park, Ruwa,200 m²,,,
Luxurious 4-Bedroom  Home in Scenic Kariba,"USD 350,000",Kariba,,,,,
Spacious Warehouse with Versatile Layout,"USD 310,000",Belmont, Bulawayo CBD,700 m²,,,
Invest in Sandton Phase 1.,"USD 46,000",Sandton Park, Harare West,,,,
Spacious 4-Bedroom Family Home for sale  in Belvedere,"USD 210,000",Belvedere, Harare West,400 m²,,,
A perfect spot for weekend getaway! POA,"USD 1,650,000",Lake Chivero,,"2,000 m²",,,
Modern Secure Townhouses In Marlborough,"USD 220,000",Marlborough, Harare West,155 m²,,,
Developer's dream,"USD 2,800,000",The Grange, Harare North,300 m²,,,
Ready To Move-In,"USD 280,000",The Grange, Harare North,230 m²,,,
Mabelreign House for sale,"USD 130,000",Mabelreign, Harare West,150 m²,,,
Spacious Townhouse in Borrowdale  (On Show),"USD 365,000",Ryelands, Harare North,400 m²,,,
"Waterfalls, Prospect 3 bed house for sale","USD 195,000",Waterfalls, Harare South,200 m²,,,
Don't miss out!!!,"USD 430,000",Harare City Centre, Harare CBD,450 m²,,,
morden contemporry,"USD 260,000",Emerald Hill, Harare West,150 m²,,,
Spacious Home For Sale,"USD 250,000",Twinlakes, Norton,"1,500 m²",,,
Stylish Modern Townhouse - Corner Unit!,"USD 240,000",Rhodesville, Harare East,165 m²,,,
Monavale Beatiful Double Story,"USD 300,000",Monavale, Harare West,320 m²,,,
"**Prime 12,000 m² Arable Farm Land in Selous - Ideal Investment Opportunity!**","USD 75,000",Selous,,,,,
Investment Opportunity – 3-Bedroom Fixer-Upper with Huge Potential,"USD 140,000",Mabelreign, Harare West,150 m²,,,
Unleash Your Dream Home: A Hogerty Hill Masterpiece Awaits!,"USD 240,000",Hogerty Hill, Harare North,,,,
Residential Stands For Sale,"USD 15,000",Charlotte Brooke, Harare North,,,,
Great Investment Opportunity,"USD 62,000",Chadcombe, Harare South,150 m²,,,
Luxury Home in Cold Comfort,"USD 175,000",Cold Comfort, Harare West,386 m²,,,
Newly Built Shop,"USD 19,000",Mvurwi,,150 m²,,,
Eastlea House For Sale,"USD 350,000",Eastlea, Harare East,300 m²,,,
Well Looked After Family Home,"USD 295,000",Hogerty Hill, Harare North,320 m²,,,
House for sale,"USD 148,000",Tynwald, Harare West,350 m²,,,
A stand for sale,"USD 20,000",Damofalls,,,,,
Borrowdale Land For Sale,"USD 4,200,000",Borrowdale, Harare North,,,,
Spacious Double-House in Gunhill’s Secure Neighborhood,"USD 680,000",Gunhill, Harare North,250 m²,,,
New Hogerty Hill Property,"USD 80,000",Hogerty Hill, Harare North,,,,
10000 square meters available in Glenlorne,"USD 300,000",Glen Lorne, Harare North,,,,
Prime Residential Stand in Gletwin Park - 4250 m² of Potential!,"USD 145,000",Gletwin Park, Harare North,,,,
Garden Flat for sale in Mabelreign,"USD 90,000",Mabelreign, Harare West,150 m²,,,
"Charming 2-Bedroom House with Borehole in Eastlea, Harare","USD 250,000",Eastlea, Harare East,180 m²,,,
Family home!!,"USD 80,000",Cold Comfort, Harare West,200 m²,,,
Fixer Upper,"USD 300,000",Greendale, Harare East,500 m²,,,
Solid Spacious House,"USD 290,000",Greencroft, Harare West,,,,
"3 Bedroom House for Sale in Kumalo, Bulawayo East","USD 220,000",Kumalo, Bulawayo East,255 m²,,,
"1250m² Residential Land for Sale in Upmarket Sandton Park, Harare West","USD 32,000",Sandton Park, Harare West,,,,
Houses for sale,"USD 75,000",Zimre Park, Harare East,280 m²,,,
Prime virgin land Lower Rangemore,"USD 850,000",Lower Rangemore, Bulawayo High-Density,,,,
"1-Hectare Commercial Land in Eastlea, Harare East","USD 1,000,000",Eastlea, Harare East,,,,
Investors Delight!!,"USD 255,000",Greendale, Harare East,300 m²,,,
"9121m² Commercial Property in Karoi, Mashonaland West with Borehole","USD 550,000",Karoi,,"1,611 m²",,,
"5-Bedroom Family Home for Sale in Zimre Park, Harare East","USD 120,000",Zimre Park, Harare East,120 m²,,,
Luxury 5 Bedroom property in Alexandra Park,P.O.A.,Alexandra Park, Harare North,"3,236 m²",,,
Glenview Starter Home For Sale,"USD 27,000",Glen View, Harare High Density,95 m²,,,
Luxurious 6-Bedroom Double-Story House for Sale in Glen Lorne,"USD 550,000",Glen Lorne, Harare North,440 m²,,,
Prime Commercial Property for Sale,"USD 1,000,000",Avenues, Harare CBD,,,,
Modern Luxurious Townhouse for Sale in Marlborough,"USD 140,000",Marlborough, Harare West,200 m²,,,
Exceptional Home On The Hill With Stunning Views,"USD 635,000",Glen Lorne, Harare North,,,,
Polished & Sophisticated,"USD 149,000",Four Winds, Bulawayo South,,,,
**Charming 3-Bedroom Townhouse in Glen Norah – Perfect Family Home!**,"USD 50,000",Glen Norah, Harare High Density,150 m²,,,
Agri-Residential Plot along Gardiner Road,"USD 450,000",Arcturus,,,,,
"Birmingham Road, Harare – Premium 9,000sqm Indstry","USD 3,700,000",Southerton, Harare South,"9,000 m²",,,
Apartments for sale,"USD 120,000",Strathaven, Harare West,84 m²,,,
Agro Plots 50km from Chinhoyi Town,"USD 130,000",Mhangura,,,,,
Norton Knowe Stand,"USD 32,000",Knowe, Norton,,,,
Acturus plot for sale,"USD 85,000",Arcturus,,,,,
Unique Investment Opportunity,"USD 425,000",Highlands, Harare North,317 m²,,,
"Spacious 5-Bedroom Home for Sale in Ashdown Park, Harare!","USD 150,000",Ashdown Park, Harare West,460 m²,,,
Prime Location in the heart of Colne Valley!,"USD 660,000",Colne Valley, Harare North,,,,
Stand for sale in Crowhill,"USD 15,000",Crowhill Views, Harare North,,,,
14.1 Hectares of Prime Land For Sale in Marlborough,"USD 1,600,000",Marlborough, Harare West,,,,
Grab Your 2000sqm Stand in Mary Park Knowe Norton,"USD 32,000",Knowe, Norton,,,,
A Choice Of 1/3 Bed Town House For Sale In Marlborough,P.O.A.,Marlborough, Harare West,,,,
Superb Opportunity,"USD 180,000",Tynwald, Harare West,,,,
Solid 6 bed on 9842 sqm with marvellous views,"USD 775,000",Borrowdale, Harare North,300 m²,,,
One Hectare with Development Permit and Borehole,"USD 700,000",Greystone Park, Harare North,,,,
3-Bed Townhouse Complex for Sale in Arlington with deeds in Harare South,"USD 155,000",Arlington, Harare South,208 m²,,,
3 bedroom apartment for sale in The Victoria falls Estate,"USD 295,000",Victoria Falls,,173 m²,,,
Stunning Family Home for Sale – Gunhill,"USD 665,000",Gunhill, Harare North,,,,
Prime Commercial Land in Arlington: 5012 m² with Seke Road Frontage!,"USD 451,000",Arlington, Harare South,,,,
Mabvazuva newly built house up for grabs!,"USD 105,000",Mabvazuva, Ruwa,280 m²,,,
Mufakose Commercial Property,"USD 155,000",Mufakose, Harare High Density,389 m²,,,
Carrick CREAGH Stand for Sale,"USD 140,000",Carrick Creagh, Harare North,,,,
Commercial land for sale in Greendale Msasa,"USD 600,000",Greendale, Harare East,"6,000 m²",,,
Busy Industrial/commercial Area For Sale,"USD 750,000",Ardbennie, Harare South,"8,094 m²",,,
Interest Free With Flexible Payment On Terms,"USD 37,775",Hatfield, Harare South,,,,
Vacant Stand,"USD 10,000",Maridale, Norton,,,,
Residential house for sale,"USD 32,000",Chitungwiza,,180 m²,,,
Shawasha hills in the boom,"USD 280,000",Shawasha Hills, Harare North,,,,
Kariba Lodge,"USD 1,250,000",Kariba,,"4,015 m²",,,
Solid Return-On-Investment,"USD 170,000",Braeside, Harare South,300 m²,,,
CBD Prime Commercial Property for Sale,"USD 350,000",Avenues, Harare CBD,500 m²,,,
Kwekwe Msasa Commercial Property For Sale,"USD 550,000",Msasa Park, Kwekwe,800 m²,,,
Offices in Prime location,"USD 1,320,000",Borrowdale, Harare North,850 m²,,,
Neat and cozy,"USD 55,000",Glaudina, Harare West,180 m²,,,
Immaculate Home In The Upmarket Suburb Of Gunhill,"USD 665,000",Gunhill, Harare North,1 m²,,,
Ruwa,"USD 45,000",Ruwa,,300 m²,,,
"Investment  Property For Sale in Tilcor Industrial Area, Chitungwiza","USD 160,000",Masanga Way Tilcor Industrial, Chitungwiza,615 m²,,,
"**Charming Family Home in Zimre Park – 3 Bed, 2 Bath Oasis!**","USD 85,000",Zimre Park, Harare East,300 m²,,,
Superb Opportunity,"USD 520,000",Mount Pleasant, Harare North,300 m²,,,
A choice of 4 residential vacant stands is available,"USD 36,000",Nyabira,,,,,
The Grange,"USD 350,000",The Grange, Harare North,500 m²,,,
Bridgewood Commercial /Industrial Land for Sale in Gweru - 2665 m²,"USD 67,500",Gweru CBD, Gweru,,,,
Prime Industrial Investment – Willowvale Warehouse & Factory Unit,"USD 250,000",Willowvale, Harare South,300 m²,,,
Luxury Multi Level Family Home,"USD 850,000",Greystone Park, Harare North,"2,000 m²",,,
PRICED TO GO! Commercial Property For Sale In CBD,"USD 390,000",Avenues, Harare CBD,250 m²,,,
Greendale House For Sale,"USD 390,000",Greendale, Harare East,240 m²,,,
"Beautiful 5-Bedroom Home In Maridale, Norton","USD 60,000",Maridale, Norton,130 m²,,,
"""Beautiful Home in Belvedere!""","USD 290,000",Belvedere, Harare West,"2,000 m²",,,
6-Bedroom Home on 6330 m² in Glen Lorne,"USD 650,000",Glen Lorne, Harare North,,,,
Madokero House For Sale,"USD 145,000",Madokero, Harare West,270 m²,,,
Cottage in Crowhill,"USD 45,000",Crowhill Views, Harare North,200 m²,,,
Stylish 2 Bedroom Garden Apartment in Prime Kensington,"USD 170,000",Kensington, Harare West,150 m²,,,
Morden Garden Flats for Sale in Strathaven,"USD 160,000",Strathaven, Harare West,150 m²,,,
"Four Bed House For Sale, Haydon Park, Harare","USD 165,000",Haydon Park, Harare West,450 m²,,,
Finish It To Your Taste....,"USD 400,000",Pomona, Harare North,400 m²,,,
"A solid 3 Bedroom Family Home in Zimre Park, Harare East","USD 70,000",Zimre Park, Harare East,200 m²,,,
Affordable Apartments In Harare North,"USD 160,000",Vainona, Harare North,89 m²,,,
Off-Plan Luxury! 4-Bed Cluster Homes in Hatfield – Pay 50% Deposit,"USD 140,000",Hatfield, Harare South,139 m²,,,
